Date of Admission,Admission Type,Patient Status,Count
2020-04-25,Urgent,admission,6
2021-08-21,Urgent,discharge,1
2021-01-14,Elective,discharge,5
2020-09-12,Elective,discharge,9
2020-03-27,Emergency,admission,6
2019-07-26,Emergency,discharge,4
2023-12-07,Urgent,discharge,10
2021-06-11,Urgent,discharge,8
2022-02-11,Emergency,admission,8
2020-09-12,Emergency,discharge,5
2020-05-25,Emergency,discharge,7
2023-09-25,Elective,discharge,6
2022-06-22,Elective,discharge,3
2020-01-12,Elective,admission,9
2022-07-29,Urgent,admission,8
2023-02-20,Emergency,admission,1
2021-07-14,Elective,discharge,2
2024-04-17,Urgent,discharge,9
2021-02-04,Urgent,admission,1
2021-09-02,Urgent,discharge,4
2022-09-10,Elective,admission,8
2022-11-25,Elective,admission,6
2023-08-04,Emergency,admission,5
2020-11-20,Elective,admission,2
2019-10-23,Urgent,admission,8
2020-10-17,Elective,discharge,4
2022-12-27,Urgent,admission,2
2023-06-16,Emergency,discharge,3
2023-11-06,Elective,discharge,8
2023-12-26,Elective,discharge,10
2023-02-10,Emergency,admission,1
2020-07-01,Emergency,admission,2
2023-09-21,Emergency,discharge,7
2020-11-25,Urgent,discharge,6
2020-07-10,Urgent,discharge,7
2022-12-24,Emergency,discharge,8
2019-10-05,Elective,discharge,5
2022-03-13,Emergency,admission,3
2020-05-15,Elective,admission,3
2020-12-02,Elective,discharge,8
2024-01-08,Emergency,discharge,9
2019-08-16,Emergency,discharge,6
2023-03-23,Elective,admission,7
2020-01-20,Emergency,admission,9
2024-01-23,Elective,admission,3
2022-12-20,Emergency,discharge,3
2021-08-10,Elective,discharge,7
2020-11-23,Emergency,admission,7
2020-02-10,Emergency,discharge,6
2019-06-04,Elective,admission,2
2023-09-24,Emergency,discharge,4
2021-08-16,Elective,admission,7
2020-07-06,Elective,admission,2
2022-12-07,Elective,discharge,10
2023-12-29,Elective,admission,6
2023-02-16,Urgent,discharge,10
2022-05-12,Emergency,admission,5
2023-09-20,Emergency,admission,3
2020-01-11,Emergency,admission,3
2022-03-30,Elective,admission,9
2020-05-11,Elective,admission,3
2022-01-20,Emergency,discharge,3
2019-11-13,Urgent,admission,7
2021-02-03,Emergency,admission,1
2020-10-24,Elective,discharge,2
2022-10-03,Urgent,discharge,2
2023-12-24,Elective,discharge,10
2023-11-18,Elective,admission,3
2024-03-12,Urgent,discharge,2
2023-04-12,Urgent,admission,10
2021-06-16,Emergency,admission,8
2021-11-24,Elective,discharge,4
2020-07-06,Emergency,admission,7
2022-06-26,Elective,discharge,10
2020-07-21,Urgent,admission,4
2019-11-04,Urgent,admission,8
2021-11-01,Urgent,admission,5
2019-11-17,Elective,admission,2
2022-12-19,Urgent,admission,7
2020-10-06,Urgent,discharge,5
2022-01-16,Elective,admission,5
2023-07-06,Elective,admission,7
2021-06-12,Urgent,admission,1
2019-08-27,Elective,discharge,3
2022-05-17,Urgent,discharge,2
2020-10-02,Elective,discharge,2
2021-08-20,Elective,admission,5
2019-11-05,Elective,discharge,10
2024-02-06,Emergency,discharge,7
2024-02-07,Urgent,admission,9
2023-06-22,Urgent,discharge,6
2020-11-19,Urgent,admission,8
2021-11-24,Emergency,admission,10
2019-07-26,Elective,admission,4
2022-07-05,Elective,admission,10
2019-08-29,Elective,admission,6
2024-05-02,Elective,admission,2
2020-05-26,Elective,admission,1
2024-03-20,Urgent,admission,5
2024-03-27,Elective,admission,9
2021-03-22,Urgent,admission,10
2020-10-03,Emergency,admission,6
2023-05-17,Emergency,admission,7
2022-08-12,Emergency,admission,7
2020-06-20,Urgent,discharge,4
2023-04-20,Emergency,admission,7
2019-10-28,Emergency,discharge,1
2021-08-31,Urgent,admission,7
2021-07-14,Urgent,discharge,1
2022-01-21,Elective,admission,9
2019-09-16,Urgent,admission,1
2023-01-20,Urgent,admission,6
2020-01-04,Emergency,admission,9
2024-03-03,Elective,discharge,7
2019-07-06,Elective,discharge,9
2022-12-01,Elective,discharge,3
2020-05-10,Urgent,discharge,1
2024-03-10,Elective,discharge,6
2020-01-14,Urgent,admission,2
2020-06-07,Elective,discharge,9
2020-11-11,Elective,admission,10
2021-05-07,Urgent,admission,7
2021-07-13,Urgent,admission,5
2024-03-25,Emergency,discharge,10
2020-03-25,Urgent,discharge,7
2023-05-14,Urgent,admission,5
2022-11-19,Urgent,admission,8
2021-03-10,Emergency,discharge,6
2020-11-15,Urgent,discharge,2
2024-01-28,Elective,discharge,3
2020-07-07,Urgent,admission,1
2023-01-22,Elective,discharge,6
2020-05-10,Emergency,discharge,9
2021-07-09,Elective,discharge,3
2020-06-11,Elective,admission,4
2020-04-21,Emergency,discharge,1
2019-10-06,Urgent,discharge,10
2020-07-11,Urgent,admission,8
2022-04-03,Elective,admission,4
2020-01-21,Urgent,admission,3
2022-12-16,Elective,discharge,2
2022-07-20,Emergency,discharge,9
2021-07-25,Elective,discharge,10
2023-07-19,Urgent,discharge,3
2023-05-22,Urgent,discharge,9
2020-07-08,Emergency,admission,4
2022-12-27,Urgent,admission,7
2019-06-21,Urgent,discharge,6
2021-01-01,Elective,admission,6
2022-09-07,Urgent,discharge,7
2022-06-09,Urgent,admission,6
2023-11-01,Elective,admission,2
2023-08-06,Urgent,admission,2
2022-07-30,Elective,discharge,6
2021-02-04,Elective,admission,5
2021-11-26,Urgent,admission,3
2020-07-02,Emergency,discharge,6
2021-08-09,Elective,admission,1
2024-01-18,Emergency,admission,10
2023-01-17,Elective,admission,9
2024-03-27,Elective,discharge,8
2023-01-10,Elective,admission,6
2019-07-14,Urgent,discharge,4
2020-05-18,Elective,admission,3
2022-06-15,Emergency,discharge,3
2020-03-27,Urgent,discharge,3
2020-02-20,Elective,discharge,5
2020-06-16,Elective,admission,9
2019-06-06,Urgent,admission,10
2022-01-18,Elective,admission,6
2021-01-11,Elective,discharge,8
2021-02-04,Urgent,admission,9
2022-05-30,Elective,discharge,6
2021-12-19,Elective,admission,7
2021-07-20,Elective,admission,5
2022-12-27,Elective,discharge,7
2022-09-05,Urgent,discharge,8
2022-07-27,Emergency,admission,2
2024-05-03,Elective,discharge,10
2019-08-28,Emergency,discharge,2
2024-04-21,Emergency,discharge,8
2024-03-12,Urgent,admission,10
2019-09-29,Elective,admission,5
2022-08-19,Urgent,admission,8
2021-10-18,Elective,admission,2
2023-04-07,Elective,admission,1
2019-10-28,Elective,admission,6
2020-06-29,Elective,discharge,8
2022-09-21,Emergency,discharge,7
2023-08-10,Urgent,admission,2
2022-05-16,Elective,admission,6
2020-08-25,Elective,admission,6
2023-10-04,Elective,admission,6
2022-04-28,Emergency,discharge,4
2019-05-29,Elective,discharge,7
2024-03-09,Emergency,discharge,9
2020-01-07,Urgent,discharge,4
2019-11-10,Elective,admission,8
2023-01-24,Elective,admission,7
2019-07-28,Urgent,admission,4
2022-07-18,Emergency,discharge,4
2020-06-07,Urgent,admission,3
2020-12-07,Emergency,discharge,8
2020-04-10,Elective,admission,5
2023-07-12,Urgent,admission,8
2022-09-10,Emergency,admission,9
2021-04-15,Emergency,admission,8
2020-08-20,Emergency,admission,2
2020-08-14,Elective,discharge,3
2021-07-17,Urgent,admission,3
2023-01-27,Elective,admission,8
2020-09-04,Urgent,discharge,7
2020-02-08,Elective,admission,8
2019-07-01,Urgent,admission,1
2024-01-01,Elective,discharge,5
2021-03-10,Emergency,admission,4
2019-09-19,Elective,discharge,4
2023-02-24,Emergency,discharge,2
2022-03-30,Emergency,discharge,7
2019-08-30,Urgent,admission,6
2019-12-21,Elective,admission,5
2019-08-31,Elective,discharge,1
2022-03-30,Elective,admission,10
2023-08-11,Emergency,admission,6
2021-10-29,Elective,admission,2
2020-09-18,Emergency,discharge,4
2021-02-24,Urgent,admission,9
2023-07-07,Urgent,discharge,1
2023-06-26,Elective,discharge,3
2021-11-12,Urgent,discharge,10
2021-10-23,Urgent,admission,7
2019-11-30,Emergency,discharge,2
2023-03-19,Elective,admission,5
2022-02-02,Emergency,discharge,5
2023-09-25,Urgent,discharge,8
2021-10-28,Emergency,admission,8
2020-06-16,Urgent,admission,8
2021-10-07,Emergency,admission,4
2021-04-29,Elective,admission,6
2019-05-12,Elective,discharge,5
2021-09-12,Elective,discharge,4
2021-01-25,Urgent,admission,10
2020-05-22,Elective,admission,1
2022-06-20,Elective,admission,10
2020-11-16,Elective,admission,6
2020-10-09,Urgent,admission,5
2023-12-12,Urgent,discharge,8
2022-06-14,Emergency,discharge,7
2023-02-23,Emergency,discharge,1
2024-04-25,Urgent,discharge,2
2022-06-08,Emergency,admission,3
2023-12-07,Emergency,admission,7
2020-11-03,Emergency,admission,7
2023-10-03,Urgent,discharge,1
2022-06-11,Emergency,discharge,2
2021-07-03,Urgent,admission,6
2024-03-19,Elective,discharge,6
2024-01-11,Elective,admission,2
2021-06-26,Urgent,admission,7
2024-01-19,Elective,admission,2
2020-12-15,Elective,discharge,10
2021-05-14,Emergency,admission,6
2021-07-10,Emergency,discharge,4
2020-07-25,Urgent,discharge,3
2019-09-17,Elective,admission,5
2019-05-14,Elective,discharge,3
2020-05-31,Emergency,admission,6
2020-03-27,Emergency,discharge,10
2019-12-23,Elective,admission,10
2024-02-08,Elective,discharge,3
2023-09-23,Emergency,admission,4
2020-05-14,Elective,admission,6
2020-02-11,Urgent,discharge,9
2021-09-13,Urgent,admission,4
2020-10-24,Urgent,admission,6
2020-12-29,Elective,discharge,10
2024-03-19,Urgent,admission,8
2021-12-13,Emergency,admission,5
2022-05-17,Urgent,discharge,9
2022-12-01,Emergency,admission,9
2020-03-16,Emergency,admission,9
2020-10-20,Emergency,discharge,9
2024-01-05,Urgent,admission,4
2023-08-17,Emergency,discharge,4
2023-03-31,Emergency,discharge,1
2022-11-21,Elective,discharge,8
2020-08-24,Urgent,discharge,8
2022-02-12,Elective,discharge,8
2023-08-15,Elective,admission,10
2023-01-13,Elective,discharge,4
2020-04-28,Elective,admission,1
2022-10-21,Urgent,discharge,1
2022-12-15,Urgent,admission,4
2020-09-01,Emergency,admission,3
2019-11-18,Emergency,admission,4
2022-08-22,Urgent,discharge,9
2020-08-01,Emergency,admission,1
2024-01-18,Emergency,admission,6
2020-03-17,Emergency,discharge,6
2022-08-15,Emergency,discharge,10
2023-05-15,Elective,discharge,5
2019-06-27,Urgent,discharge,8
2023-10-29,Urgent,discharge,5
2024-01-09,Elective,discharge,3
2020-08-23,Emergency,discharge,6
2020-01-07,Urgent,discharge,2
2019-10-25,Elective,discharge,8
2023-09-20,Urgent,admission,2
2020-01-12,Urgent,discharge,8
2019-06-04,Urgent,discharge,9
2021-12-14,Emergency,discharge,3
2023-05-30,Urgent,admission,3
2019-08-26,Urgent,admission,8
2019-11-16,Emergency,discharge,6
2022-04-23,Elective,discharge,10
2020-02-20,Elective,discharge,1
2022-10-19,Emergency,admission,10
2022-02-05,Elective,admission,7
2019-08-01,Emergency,admission,3
2021-06-19,Elective,admission,8
2020-06-28,Urgent,admission,10
2019-10-06,Urgent,admission,5
2022-07-17,Urgent,admission,3
2021-05-22,Urgent,admission,1
2022-08-16,Urgent,discharge,6
2021-03-31,Emergency,discharge,1
2021-09-06,Elective,admission,8
2023-08-26,Urgent,discharge,7
2019-11-27,Emergency,discharge,2
2023-03-07,Urgent,admission,2
2022-10-03,Elective,discharge,3
2023-01-10,Urgent,admission,3
2020-04-12,Urgent,admission,5
2020-11-20,Urgent,discharge,7
2024-04-26,Emergency,discharge,3
2023-06-29,Urgent,admission,6
2020-01-11,Emergency,admission,1
2022-06-05,Elective,admission,3
2024-01-28,Elective,discharge,4
2021-11-06,Elective,admission,10
2021-07-21,Emergency,discharge,7
2019-11-23,Urgent,admission,8
2019-05-30,Emergency,discharge,6
2024-03-23,Emergency,discharge,4
2019-06-23,Emergency,admission,10
2022-01-30,Elective,discharge,9
2022-11-12,Elective,discharge,8
2020-12-22,Elective,discharge,10
2022-05-22,Emergency,admission,5
2021-03-27,Elective,discharge,6
2022-06-22,Urgent,discharge,8
2022-07-15,Emergency,discharge,9
2022-06-06,Elective,discharge,10
2020-12-29,Urgent,admission,4
2020-05-23,Elective,admission,8
2022-07-25,Emergency,discharge,1
2021-04-01,Emergency,discharge,5
2020-07-20,Elective,admission,6
2020-02-28,Emergency,admission,7
2023-08-30,Elective,admission,4
2020-07-27,Emergency,discharge,8
2021-03-28,Urgent,admission,8
2022-05-08,Emergency,admission,5
2021-06-16,Emergency,admission,4
2023-10-31,Urgent,admission,8
2022-04-23,Elective,admission,5
2021-12-09,Urgent,discharge,3
2024-01-10,Urgent,admission,9
2019-11-17,Emergency,admission,4
2022-01-05,Elective,discharge,10
2024-01-15,Urgent,discharge,10
2022-11-17,Urgent,discharge,8
2021-08-02,Urgent,discharge,9
2020-04-20,Elective,admission,3
2023-06-28,Urgent,admission,6
2022-04-06,Elective,admission,10
2021-03-31,Urgent,admission,1
2020-03-07,Elective,discharge,6
2020-06-03,Urgent,discharge,2
2021-08-31,Elective,admission,2
2022-09-22,Elective,discharge,10
2022-07-02,Elective,admission,5
2019-06-18,Elective,discharge,7
2019-07-19,Urgent,discharge,8
2022-01-06,Elective,discharge,2
2022-02-08,Urgent,admission,3
2022-12-09,Elective,admission,1
2020-06-14,Urgent,admission,3
2021-03-12,Urgent,discharge,10
2022-12-27,Elective,discharge,2
2019-12-08,Urgent,discharge,1
2023-06-19,Elective,admission,8
2019-05-10,Urgent,admission,4
2021-06-11,Elective,discharge,10
2019-10-27,Emergency,admission,10
2022-08-27,Elective,discharge,5
2019-08-08,Emergency,discharge,10
2023-02-12,Elective,discharge,6
2021-05-04,Elective,admission,1
2021-07-11,Elective,discharge,10
2021-02-10,Emergency,discharge,8
2021-10-16,Elective,discharge,4
2019-10-03,Urgent,discharge,6
2020-04-26,Elective,discharge,1
2019-09-13,Emergency,admission,9
2022-01-20,Emergency,discharge,7
2023-10-14,Elective,discharge,5
2019-11-23,Urgent,admission,5
2023-12-05,Elective,admission,7
2021-02-01,Emergency,discharge,5
2022-06-30,Urgent,admission,2
2023-11-09,Elective,admission,8
2020-07-30,Elective,discharge,3
2022-04-10,Elective,admission,5
2020-01-02,Urgent,admission,1
2023-11-10,Emergency,discharge,1
2021-02-14,Urgent,discharge,10
2022-07-16,Emergency,admission,5
2023-05-15,Elective,admission,10
2020-04-30,Urgent,discharge,10
2021-01-12,Urgent,discharge,3
2019-05-23,Emergency,admission,6
2023-04-23,Emergency,admission,10
2022-12-07,Urgent,admission,7
2020-10-25,Elective,admission,10
2021-04-08,Elective,discharge,10
2020-09-09,Emergency,admission,5
2019-12-06,Emergency,discharge,7
2023-02-16,Elective,admission,8
2023-09-12,Emergency,discharge,8
2019-11-21,Elective,discharge,6
2019-07-14,Elective,discharge,10
2019-10-03,Emergency,admission,4
2019-07-04,Elective,admission,2
2019-05-26,Emergency,admission,4
2021-12-12,Elective,admission,3
2021-05-22,Urgent,admission,6
2020-09-03,Emergency,discharge,4
2022-03-30,Urgent,discharge,2
2019-12-20,Elective,admission,1
2022-01-21,Urgent,admission,4
2020-05-19,Emergency,discharge,6
2024-02-20,Emergency,discharge,2
2023-08-31,Elective,admission,6
2023-01-19,Emergency,admission,4
2023-11-20,Emergency,discharge,9
2021-07-28,Urgent,discharge,7
2023-04-04,Emergency,discharge,8
2020-08-11,Elective,admission,7
2020-01-28,Urgent,discharge,2
2020-01-07,Emergency,admission,3
2020-04-20,Elective,admission,8
2020-03-18,Elective,discharge,8
2020-06-18,Emergency,discharge,10
2023-07-15,Elective,admission,9
2023-10-02,Urgent,discharge,5
2021-01-13,Urgent,discharge,6
2022-05-16,Elective,admission,9
2019-10-22,Emergency,discharge,4
2019-08-09,Emergency,discharge,3
2023-12-30,Elective,admission,8
2022-07-11,Elective,admission,3
2020-09-19,Emergency,admission,9
2019-09-06,Urgent,discharge,2
2019-11-22,Emergency,admission,10
2020-07-22,Elective,admission,2
2022-03-01,Urgent,admission,2
2023-03-01,Urgent,admission,6
2021-04-22,Urgent,discharge,5
2020-09-23,Urgent,discharge,1
2023-01-08,Emergency,admission,3
2022-08-17,Elective,admission,6
2021-06-15,Urgent,admission,3
2024-03-01,Urgent,admission,5
2023-12-11,Elective,admission,8
2022-05-04,Elective,discharge,10
2021-12-01,Emergency,admission,10
2021-09-21,Elective,admission,5
2020-03-20,Elective,discharge,7
2024-03-29,Emergency,admission,1
2024-03-12,Emergency,admission,3
2022-03-21,Emergency,admission,10
2020-07-23,Emergency,admission,10
2024-03-10,Emergency,discharge,3
2020-03-15,Urgent,discharge,2
2021-05-10,Urgent,admission,6
2020-12-29,Elective,discharge,5
2020-03-23,Urgent,admission,1
2023-07-13,Emergency,discharge,3
2023-07-20,Urgent,admission,8
2020-02-14,Urgent,discharge,4
2023-05-28,Elective,admission,5
2022-06-12,Urgent,admission,7
2023-12-12,Elective,admission,9
2023-11-06,Emergency,discharge,4
2023-05-16,Elective,admission,7
2022-10-12,Elective,admission,6
2023-12-30,Elective,discharge,4
2024-02-26,Elective,admission,3
2021-11-07,Emergency,admission,2
2020-02-03,Urgent,discharge,5
2019-07-05,Emergency,discharge,5
2021-11-13,Urgent,discharge,7
2019-08-15,Elective,admission,6
2023-07-19,Emergency,admission,2
2023-04-06,Emergency,admission,4
2019-10-08,Elective,admission,2
2020-08-10,Emergency,admission,7
2019-09-26,Emergency,discharge,7
2021-02-11,Urgent,discharge,1
2019-09-05,Elective,discharge,5
2021-03-01,Urgent,discharge,4
2024-04-19,Urgent,discharge,7
2023-04-27,Elective,discharge,6
2022-07-06,Elective,discharge,2
2020-10-31,Urgent,admission,7
2023-09-08,Elective,admission,9
2022-11-20,Emergency,admission,5
2020-07-04,Emergency,admission,6
2023-06-24,Urgent,admission,2
2020-10-06,Elective,discharge,4
2023-03-16,Emergency,admission,1
2019-09-16,Urgent,discharge,9
2021-04-10,Elective,admission,1
2019-07-21,Elective,admission,3
2021-12-14,Urgent,admission,4
2023-09-19,Emergency,admission,6
2024-01-27,Emergency,discharge,5
2020-04-03,Elective,discharge,10
2020-04-16,Urgent,admission,1
2019-08-23,Emergency,discharge,3
2021-07-01,Elective,discharge,5
2022-08-21,Emergency,admission,10
2020-08-06,Emergency,admission,7
2022-01-16,Elective,admission,9
2021-08-02,Urgent,admission,6
2020-03-17,Emergency,discharge,9
2020-07-23,Emergency,discharge,8
2022-07-22,Urgent,discharge,10
2020-08-08,Emergency,admission,4
2023-09-29,Emergency,discharge,9
2022-01-05,Urgent,admission,5
2020-06-22,Emergency,admission,3
2019-10-26,Elective,admission,6
2024-02-21,Urgent,admission,10
2023-01-07,Emergency,admission,1
2023-09-21,Emergency,admission,9
2022-12-07,Emergency,admission,4
2022-12-13,Emergency,discharge,9
2022-11-16,Elective,admission,5
2019-06-19,Elective,admission,6
2023-01-29,Emergency,discharge,1
2023-11-30,Elective,admission,10
2021-03-26,Urgent,admission,1
2021-08-21,Elective,discharge,6
2024-01-03,Urgent,discharge,4
2024-03-23,Emergency,admission,4
2022-12-03,Emergency,admission,2
2021-09-25,Urgent,admission,8
2020-08-23,Emergency,discharge,8
2020-09-18,Elective,admission,10
2022-08-01,Elective,discharge,2
2020-01-11,Urgent,admission,4
2020-10-16,Elective,admission,9
2024-04-29,Emergency,admission,9
2022-07-05,Urgent,discharge,10
2019-08-27,Emergency,discharge,2
2024-03-10,Urgent,discharge,8
2023-02-16,Elective,admission,5
2024-04-25,Elective,admission,1
2023-09-25,Urgent,discharge,9
2022-09-12,Emergency,admission,1
2019-06-30,Emergency,discharge,8
2023-02-12,Urgent,discharge,5
2020-01-23,Elective,admission,2
2022-11-25,Elective,discharge,10
2021-02-10,Elective,discharge,6
2023-01-30,Emergency,discharge,2
2019-08-24,Urgent,admission,1
2024-02-05,Urgent,admission,2
2021-08-30,Emergency,discharge,5
2022-01-07,Urgent,admission,6
2023-09-08,Elective,admission,6
2021-10-07,Elective,admission,4
2020-02-29,Urgent,admission,2
